architecture,task_id,level,question,ground_truth,predicted,score,correct,partial,failure_cat,steps,tool_calls,tokens,time_sec,tool_usage,strategy,trace
react,0,easy,In what year was the university where Sergei Aleksandrovich Tokarev was a professor founded?,1755,1755,1.0,True,False,correct,2,1,1066,8.05,{'web_search': 1},react,"web_search(forced): Moscow State University: Lomonosov Moscow State University (MSU; Russian: Московский государственный университет имени М.  В.  Ломоносова , often abbreviated МГУ) is a coeducationa"
react,1,easy,Black Book starred the actress and writer of what heritage?,Dutch,The final answer is: Yazidi.,0.0,False,False,knowledge_gap,2,1,622,7.45,{'web_search': 1},react,"web_search(forced): It is claimed that the original text of the ""Book of Revelation"" is kept in the Yazidi village of Ba'idn and the original text of the ""Yazidi Black Book"" is kept in the village of "
react,2,easy,Which actor does American Beauty and American Beauty have in common?,Kevin Spacey,The final answer is: Kevin Spacey,1.0,True,False,correct,2,1,470,7.96,{'web_search': 1},react,"web_search(forced): Supporting the band's sixth studio album ""American Beauty/American Psycho"" (2015), the tour visited North America and Europe in 2015.  Released in North America on September 15, 19"
react,3,medium,Ken Pruitt  was a Republican member of an upper house of the legislature with how many members ?,40 members,Ken Pruitt was a Republican member of an upper house of the legislature with 40 members (the Jammu and Kashmir Legislative Council).,0.0,False,False,multi_step_failure,2,1,460,9.57,{'web_search': 1},react,"web_search(forced): Ken Pruitt: Ken Pruitt (born January 24, 1957) was a Republican member of the Florida Senate, representing the 28th District from 2000 to 2009.  Was elected as Member of the Jammu "
react,4,easy,"Between Greyia and Calibanus, which genus contains more species?",Greyia,The genus Calibanus contains more species than Greyia.,1.0,True,False,correct,2,1,362,6.79,{'web_search': 1},react,"web_search(forced): This genus contains three species, and are part of the Anomalopteryginae or lesser moa subfamily.  This genus contains over 500 named species and varieties, but the list is far fro"
react,5,easy,Did John Updike and Tom Clancy both publish more than 15 bestselling novels?,yes,"Tom Clancy published 25 novels, including ""The Hunt for Red",0.0,False,False,multi_step_failure,2,1,1125,12.66,{'web_search': 1},react,web_search(forced): Tom Clancy's Net Force Explorers: Deathworld: Tom Clancy's Net Force Explorers or Net Force Explorers is a series of young adult novels created by Tom Clancy and Steve Pieczenik as
react,6,medium,Who was hung for assisting the attempted surrender of a defector from the American Continental Army ,John André,John André was hung for assisting the attempted surrender of a defector from the American Continental Army to the British Army.,0.0,False,False,knowledge_gap,2,1,672,9.68,{'web_search': 1},react,web_search(forced): John André: John André (2 May 1750 – 2 October 1780) was a British Army officer hanged as a spy by the Continental Army during the American Revolutionary War for assisting Benedict
react,7,easy,which Mexican and American film actress is Ethel Houbiers  French voice of ,Salma Hayek Pinault,Béatrice Picard.,0.0,False,False,knowledge_gap,3,1,1917,45.73,{'web_search': 1},react,"web_search: Béatrice Picard: Béatrice Picard, {'1': "", '2': "", '3': "", '4': ""} , {'1': "", '2': "", '3': "", '4': ""} (born July 3, 1929 in Montreal, Quebec) is a Canadian actress.  She is well known in Q"
react,8,medium,Which major international airport in south-east England ranks as the 8th busiest airport in Europe a,Gatwick Airport,Gatwick Airport.,1.0,True,False,correct,2,1,684,15.06,{'web_search': 1},react,"web_search(forced): Gatwick Airport: Gatwick Airport (also known as London Gatwick) (IATA: LGW, ICAO: EGKK) is a major international airport in south-east England, 29.5 mi south of Central London and "
react,9,medium,Isabella Kelly was born at a ruined castle characterized as one of the most isolated fortifications ,The Changing Scottish Landscape,"The final answer is ""1991's 'The Changing Scottish Landscape'"".",1.0,True,False,correct,2,1,648,14.57,{'web_search': 1},react,"web_search(forced): 1991's ""The Changing Scottish Landscape"" characterizes it as ""one of the most isolated fortifications in Britain...[and] also one of the strangest.""

Isabella Kelly: Isabella Kelly"
