architecture,task_id,level,question,ground_truth,predicted,score,correct,hop1,source,steps,tool_calls,tokens,time_sec
context_reader,0,easy,In what year was the university where Sergei Aleksandrovich Tokarev was a professor founded?,1755,1755,1.0,True,Founded in 1755.,CONTEXT,2,1,202,1.81
context_reader,1,easy,Black Book starred the actress and writer of what heritage?,Dutch,Scottish heritage.,0.0,False,DIRECT,CONTEXT_DIRECT,2,1,206,2.0
context_reader,2,easy,Which actor does American Beauty and American Beauty have in common?,Kevin Spacey,Sam Mendes,0.0,False,Sam Mendes directed both films.,CONTEXT,2,1,340,1.96
context_reader,3,medium,Ken Pruitt  was a Republican member of an upper house of the legislature with how many members ?,40 members,The Florida Senate has 40 members.,1.0,True,DIRECT,CONTEXT_DIRECT,2,1,188,2.13
context_reader,4,easy,"Between Greyia and Calibanus, which genus contains more species?",Greyia,Greyia has more species.,1.0,True,DIRECT,CONTEXT_DIRECT,3,1,247,3.33
context_reader,5,easy,Did John Updike and Tom Clancy both publish more than 15 bestselling novels?,yes,No,0.0,False,John Updike published more than twenty novels.,CONTEXT,2,1,249,2.08
context_reader,6,medium,Who was hung for assisting the attempted surrender of a defector from the American Continental Army ,John André,John André,1.0,True,John André was hung.,CONTEXT,2,1,233,1.78
context_reader,7,easy,which Mexican and American film actress is Ethel Houbiers  French voice of ,Salma Hayek Pinault,Salma Hayek,1.0,True,Salma Hayek is Mexican.,CONTEXT,2,1,203,2.04
context_reader,8,medium,Which major international airport in south-east England ranks as the 8th busiest airport in Europe a,Gatwick Airport,Gatwick Airport,1.0,True,Gatwick is the 8th busiest airport.,CONTEXT,2,1,324,2.57
context_reader,9,medium,Isabella Kelly was born at a ruined castle characterized as one of the most isolated fortifications ,The Changing Scottish Landscape,"""The Changing Scottish Landscape""",1.0,True,DIRECT,CONTEXT_DIRECT,3,1,279,3.35
context_reader,10,easy,The facility where Robert Croft worked as a navy instructor was also known as?,"""Home of the Submarine Force""",US Naval Submarine Base New London,0.0,False,US Naval Submarine Base New London.,CONTEXT,2,1,238,2.68
context_reader,11,easy,"Who released the song ""With or Without You"" first, Jai McDowall or U2?",U2,U2 released it first.,1.0,True,U2 released it first.,CONTEXT,2,1,211,2.16
context_reader,12,easy,"Which ""Roseanne"" star is in Scream 2?",Laurie Metcalf,Laurie Metcalf,1.0,True,Laurie Metcalf is in Scream 2.,CONTEXT,2,1,348,2.78
context_reader,13,medium,In what city is the company that Fastjet Tanzania was originally founded as a part of prior to rebra,"Nairobi, Kenya","Dar es Salaam, Tanzania.",0.0,False,DIRECT,CONTEXT_DIRECT,3,1,341,3.36
context_reader,14,medium,"What is the name of the Australian specialist electronic music magazine that features avant-rock, ex",Cyclic Defrost,Cyclic Defrost,1.0,True,"Australian specialist electronic music magazine. 

Answer: Cyclic Defrost",CONTEXT,2,1,173,2.5
context_reader,15,easy,What is the population of the city that Munsonville is in the northwest corner of?,729 at the 2010 census,Baltimore city population not specified.,0.0,False,DIRECT,CONTEXT_DIRECT,3,1,214,3.56
context_reader,16,easy,A Pair of Brown Eyes and Wild Mountain Thyme is based from what artists song?,Francis McPeake,Francis McPeake,1.0,True,Francis McPeake wrote it.,CONTEXT,2,1,345,2.36
context_reader,17,medium,Armageddon in Retrospect was written by the author who was best known for what 1969 satire novel?,Slaughterhouse-Five,"Kurt Vonnegut
Gaius Petronius",0.0,False,Kurt Vonnegut.,CONTEXT,2,1,315,2.51
context_reader,18,easy,What class of instrument does Apatim Majumdar play?,strings,Indian classical stringed instrument.,1.0,True,DIRECT,CONTEXT_DIRECT,2,1,337,2.78
context_reader,19,medium," Which movie did Disney produce first,  The Many Adventures of Winnie the Pooh or Ride a Wild Pony?",Ride a Wild Pony,The Many Adventures of Winnie the Pooh.,0.0,False,DIRECT,CONTEXT_DIRECT,2,1,404,2.45
context_reader,20,easy,Pandikona and Berger Blanc Suisse are both what kinds of animals?,dogs,Dog breeds,1.0,True,Pandikona and Berger Blanc Suisse are dog breeds.,CONTEXT,2,1,251,2.17
context_reader,21,easy,The Prussian General Carl von Clausewitz is associated with what type of realism?,Modern thinkers associated with classical realism are Carl von Clausewitz,Classical Realism,1.0,True,"Carl von Clausewitz's theory. 

Answer: Classical Realism",CONTEXT,2,1,341,2.34
context_reader,22,easy,What where both Hawker Hurricane and No. 1455 Flight apart of?,Royal Air Force,RAF,0.0,False,Hawker Hurricane and No. 1455 apart of RAF.,CONTEXT,2,1,218,2.2
context_reader,23,easy,what language did the ethnic group which Torstein Ellingsen was its drumer  speaks ,Norwegian language,Norwegian language.,1.0,True,DIRECT,CONTEXT_DIRECT,3,1,315,3.06
context_reader,24,medium,"From March 631 to April 631, Farrukhzad Khosrau V was the king of an empire that succeeded which emp",the Parthian Empire,Sasanian Empire succeeded by Sasanian Empire itself.,0.0,False,DIRECT,CONTEXT_DIRECT,2,1,247,2.86
context_reader,25,medium,"Beer Wars covers the differences between large corporate breweries, and small breweries, such as wha",Stone Brewing,Stone Brewing Co.,1.0,True,Stone Brewing Co.,CONTEXT,2,1,170,1.77
context_reader,26,medium,"Which head coach has led their team for a longer period of time, Tim Cluess or Steve Prohm?",Tim Cluess,Tim Cluess,1.0,True,"Tim Cluess' coaching years. 
7 years.",CONTEXT,2,1,332,2.2
context_reader,27,medium,During what war were the Russia-United Kingdom relations in a state of rivalry after the abdication ,the Cold War (1947–91),Crimean War of 1850s,0.0,False,Crimean War of 1850s.,CONTEXT,2,1,340,2.26
context_reader,28,easy,How far from Sacramento is the flight school in Atwater?,about 115 miles (185 km),115 miles south of Sacramento.,0.0,False,DIRECT,CONTEXT_DIRECT,2,1,155,1.98
context_reader,29,medium,Baraki Barak District is situated in the western part of a province whose capital is what?,Puli Alam,Pul-i-Alam,1.0,True,Capital of Logar Province.,CONTEXT,2,1,270,2.05
context_reader,30,easy,What was the 2010 population of the town where Black Crescent Mountain was located? ,310,310,1.0,True,"2010 population of Randolph. 
310",CONTEXT,2,1,266,1.9
context_reader,31,medium,"In the NASA mission where Moon trees were taken into space, what was the nickname of the Command Mod","""Kitty Hawk""",Kitty Hawk,1.0,True,"Command Module nickname. 
""Kitty Hawk""",CONTEXT,2,1,282,2.12
context_reader,32,easy,Which comic series involves characters such as Nick Fury and Baron von Strucker?,Marvel,Andreas von Strucker,0.0,False,Baron von Strucker's children.,CONTEXT,2,1,154,1.89
context_reader,33,medium,College Humor is a 1933 American pre-Code musical comedy film that starred what American singer and ,"Harry Lillis ""Bing"" Crosby Jr.",Bing Crosby,1.0,True,Bing Crosby starred in film.,CONTEXT,2,1,192,1.9
context_reader,34,medium,Who is writing a book about the Koch family who control the second-largest privately owned company i,Jane Mayer,Charles Koch,0.0,False,Charles Koch Foundation founder.,CONTEXT,2,1,261,1.75
context_reader,35,medium,New York State Route 9R rejoins its parent in a hamlet located  in what New York County?,Albany,Albany County.,1.0,True,"New York County where it rejoins. 
Albany County.",CONTEXT,2,1,377,2.56
context_reader,36,easy,12 Years a Slave starred what British actor born 10 July 1977),Chiwetel Ejiofor,Chiwetel Ejiofor,1.0,True,Chiwetel Ejiofor starred in 12 Years.,CONTEXT,2,1,329,2.63
context_reader,37,easy,What was the capital of India when the Taj Mahal was commissioned?,Agra,Agra.,1.0,True,DIRECT,CONTEXT_DIRECT,2,1,322,2.28
context_reader,38,medium,"In what city did the ""Prince of tenors"" star in a film based on an opera by Giacomo Puccini?",Rome,Rome,1.0,True,Rome.,CONTEXT,2,1,140,1.59
context_reader,39,medium,What river can a  large African bovine be seen bathing in in the Mwabvi Wildlife Reserve?,Buffalo,Mwabvi River,0.0,False,Mwabvi river.,CONTEXT,2,1,243,2.16
context_reader,40,medium,Jalen Jones plays basketball for an NBA team that plays their home games in what arena?,Smoothie King Center,Smoothie King Center arena.,1.0,True,Smoothie King Center arena.,CONTEXT,2,1,183,2.1
context_reader,41,easy,The On Tour Forever album gave Blues Traveler the opportunity to display what musical trademark?,extensive use of segues,Harmonious guitar riffs and vocals.,0.0,False,Blues Traveler musical trademark.,CONTEXT,2,1,167,2.35
