architecture,task_id,level,question,ground_truth,predicted,score,correct,partial,failure_cat,steps,tool_calls,tokens,time_sec,tool_usage,strategy,trace
react,0,easy,Who released a 2011 album entitled ‘Born This Way’?,Lady Gaga,The final answer is Lady Gaga.,1.0,True,False,correct,2,1,296,6.38,{'web_search': 1},react,"web_search(forced): Born This Way (album) - Wikipedia: 3 days ago - Born This Way is the second studio album by American singer Lady Gaga. It was released by Interscope Records on May 23, 2011. Gaga c"
react,1,easy,What was the nationality of composer Frederic Chopin?,Polish,The nationality of composer Frederic Chopin was Polish.,1.0,True,False,correct,2,1,351,8.13,{'web_search': 1},react,web_search(forced): Frédéric Chopin - Wikipedia: 1 day ago - Frédéric François Chopin (born Fryderyk Franciszek Chopin; 1 March 1810 – 17 October 1849) was a Polish composer and virtuoso pianist of th
react,2,easy,"""What purple berry from South America has been promoted as a """"superfood""""?""",Açaí berry,The final answer is Açaí.,0.0,False,False,knowledge_gap,2,1,311,9.03,{'web_search': 1},react,"web_search(forced): Açaí palm - Wikipedia: 2 days ago - In 2003, American celebrity doctor Nicholas Perricone included açaí berries among ""superfoods"", but such extravagant marketing claims regarding "
react,3,easy,For which county did Ted Dexter play cricket for most of his career?,Sussex,Sussex.,1.0,True,False,correct,2,1,232,4.17,{'web_search': 1},react,"web_search(forced): Ted Dexter: 1935-2021 - Cricket Writers' Club: Mar 20, 2022 · The most significant game in his first season at Cambridge came against Sussex when he deposited Robin Marlar, Sussex'"
react,4,easy,"A kittel, or kitl, is what, traditionally worn by male Jews?",Burial shroud,A kittel is traditionally worn by male Jews as a white linen or cotton robe.,0.0,False,False,knowledge_gap,2,1,289,7.9,{'web_search': 1},react,"web_search(forced): Kittel - Wikipedia: A kittel (Yiddish: קיטל [ˈkɪtl̩]) is a white linen or cotton robe [1] worn by some religious Ashkenazi Jews on holidays, in the synagogue or at home

Jewish rel"
react,5,easy,Thomas Hardy's famous novel is 'Far from the Madding (What?)'?,Crowd,"The final answer is: ""Crowd"".",1.0,True,False,correct,2,1,293,7.86,{'web_search': 1},react,web_search(forced): Far from the Madding Crowd - Wikipedia: Far from the Madding Crowd is the fourth published novel by English author Thomas Hardy; and his first major literary success. It was publis
react,6,easy,Bernie Ecclestone and Flavio Briatore were at one time co-owners of which Premier League club?,QUEENS PARK RANGERS,Queens Park Rangers,1.0,True,False,correct,2,1,293,9.35,{'web_search': 1},react,"web_search(forced): Flavio Briatore - Wikipedia: In 2021, the government sold the yacht to Briatore's friend Bernie Ecclestone for €7 million, which Briatore claimed was less than half its true value."
react,7,medium,Which BBC2 comedy is set around the church of St Saviours in the Marshes in Hackney?,REV,Rev,1.0,True,False,correct,2,1,1102,51.1,{'web_search': 1},react,"web_search: Rev. (TV series) - Wikipedia: March 29, 2026 - The show was created by Tom Hollander and James Wood. The church scenes were filmed at St Leonard's in Shoreditch, east London. The BBC Two c"
react,8,easy,Which Holiday movie favourite featured a character called Kevin McCallister?,Home Alone,"The Holiday movie favourite that featured a character called Kevin McCallister was ""Home Alone"".",0.0,False,False,knowledge_gap,2,1,295,7.11,{'web_search': 1},react,"web_search(forced): Home Alone - Wikipedia: The first film in the Home Alone franchise, the film stars Macaulay Culkin as Kevin McCallister, an eight-year-old boy who defends his suburban Chicago home"
react,9,medium,Which Chilean socialist leader was deposed and killed by General Pinochet during a U.S. backed coup ,(Salvador) Allende,Salvador Allende.,1.0,True,False,correct,2,1,340,8.94,{'web_search': 1},react,"web_search(forced): Death of Salvador Allende - Wikipedia: Death of Salvador Allende Allende's glasses, found in the Palacio de La Moneda after his death On September 11, 1973, Salvador Allende, the p"
react,10,easy,"""Who wrote the TV series """"Pennies From Heaven"""", and """"The Singing Detective""""?""",DENNIS POTTER,"Dennis Potter wrote both ""Pennies From Heaven"" (1978) and ""The Singing Detective"" is not mentioned in the search result but it was also written by Den",0.0,False,False,knowledge_gap,2,1,351,10.13,{'web_search': 1},react,"web_search(forced): Pennies from Heaven (TV series) - Wikipedia: March 29, 2026 - Pennies from Heaven is a 1978 BBC musical drama serial written by Dennis Potter. The title is taken from the song ""Pen"
react,11,easy,An alkali turns red litmus paper what colour/color?,Blue,The final answer is: Blue,1.0,True,False,correct,2,1,292,7.11,{'web_search': 1},react,"web_search(forced): Litmus - Wikipedia: April 19, 2026 - The main use of litmus is to test whether a solution is acidic or basic, as blue litmus paper turns red under acidic conditions, and red litmus"
react,12,easy,What fictional spy show showcases the dysfunctional International Secret Intelligence Service (ISIS),Archer,"There is no clear indication of a fictional spy show that showcases the dysfunctional International Secret Intelligence Service (ISIS). However, based",0.0,False,False,knowledge_gap,2,1,359,11.55,{'web_search': 1},react,"web_search(forced): The Looming Tower (miniseries) - Wikipedia: The Looming Tower is an American drama television miniseries, based on Lawrence Wright's 2006 book of the same name, which premiered on "
react,13,easy,To whom did the risen Jesus say 'Touch me not'?,Mary Magdelene,Mary Magdalene.,1.0,True,False,correct,2,1,290,7.36,{'web_search': 1},react,web_search(forced): John 20:17 - Wikipedia: Verse 1 and verses 11 onwards record Mary Magdalene's discovery of the empty tomb and her meeting with the risen Jesus. Similarly in the longer ending of Ma
react,14,medium,Why was Korean short-track speedskater Kim Dong-Sung disqualified from the men's 1500 metre final at,Cross-tracking,"However, based on general knowledge, I can tell you that Kim Dong-Sung was indeed involved in a controversy during the 2002 Winter Olympics (not the 2",0.0,False,False,multi_step_failure,2,1,385,13.55,{'web_search': 1},react,"web_search(forced): Why was Korean short-track speedskater Kim Dong-Sung...: Why was USA disqualified from the 4x100 men's relay final in the Rio Olympics.

South Korea Looks to U.S. With Bruised Feel"
react,15,medium,Which was the first group to have a number one hit in the USA for Motown Records?,The Marvelettes,"To answer your question accurately, I would need more information or a different search result that specifically mentions Motown Records.",0.0,False,False,knowledge_gap,2,1,447,13.25,{'web_search': 1},react,web_search(forced): List of Billboard Hot 100 chart achievements and milestones - Wikipedia: The Billboard Hot 100 is a singles chart published by Billboard that measures the most popular singles in t
react,16,easy,Where are the police called heddlu?,Wales,"The Welsh people call the police ""y polîs"" (colloquially) and an individual police officer can be referred to as either ""heddwas"" or ""heddgeidwad"".",0.0,False,False,knowledge_gap,2,1,342,10.84,{'web_search': 1},react,"web_search(forced): Heddlu - Wikipedia: Heddlu is the Welsh-language word for police and may refer to:

heddlu - Wiktionary, the free dictionary: Jan 9, 2025 · From hedd (“peace”) + llu (“host, force”"
react,17,medium,"""Which horse race meeting, for """"The Gold Cup"""", was first run in 1711 and is held on 7 June each ye",Royal Ascot,The Ascot Gold Cup.,0.0,False,False,knowledge_gap,2,1,1383,59.94,{'web_search': 1},react,"web_search: Cheltenham Gold Cup - Wikipedia: The Cheltenham Gold Cup is a Grade 1 National Hunt horse race run on the New Course at Cheltenham Racecourse in England, over a distance of about 3 miles 2"
react,18,hard,"In which city can you visit the Luigi Ferraris Stadium, the gardens of the Villa Durazzo-Pallavicini",Genoa,The final answer is: Genoa,1.0,True,False,correct,2,1,353,8.81,{'web_search': 1},react,web_search(forced): Stadio Luigi Ferraris - All You SHOULD Know Before Going 2026 ...: Rating 3.9(333)When inside you can sit pretty much where ever you want. No one will come and check are you sittin
react,19,easy,According to Latin grammatical rules what is the singular of candelabra?,Candelabrum,"The singular of ""candelabra"" is ""candelabrum"".",1.0,True,False,correct,2,1,366,9.33,{'web_search': 1},react,"web_search(forced): Candelabra - Wikipedia: Candelabra used for state occasions at the Belgian court (1960) The first known use of candelabra in English was in 1776, [6] and candelabrum in 1811. [7] T"
