architecture,task_id,level,question,ground_truth,predicted,score,correct,confidence,votes,a1,a2,a3,steps,tool_calls,tokens,time_sec
arc_v2,0,easy,In what year was the university where Sergei Aleksandrovich Tokarev was a professor founded?,1755,1755,1.0,True,MEDIUM,2/3,1755,No specific founding year.,1755,4,4,1308,49.12
arc_v2,1,easy,Black Book starred the actress and writer of what heritage?,Dutch,Scottish heritage.,0.0,False,LOW,1/3,Scottish heritage.,Dutch,"Jewish heritage, specifically Israeli or Eastern European.",3,4,1269,56.78
arc_v2,2,easy,Which actor does American Beauty and American Beauty have in common?,Kevin Spacey,Sam Mendes,0.0,False,LOW,1/3,Sam Mendes,Kevin Spacey.,"Here is the extracted list of person names:

1. Richard Wallace
2",3,5,1175,61.22
arc_v2,3,medium,Ken Pruitt  was a Republican member of an upper house of the legislature with how many members ?,40 members,The Florida Senate has 40 members.,1.0,True,HIGH,3/3,The Florida Senate has 40 members.,40 members.,40,3,4,1004,53.65
arc_v2,4,easy,"Between Greyia and Calibanus, which genus contains more species?",Greyia,Greyia has more species.,1.0,True,MEDIUM,2/3,Greyia has more species.,Greyia contains more species.,No information is provided about Greyia and Calibanus.,3,4,1331,58.26
arc_v2,5,easy,Did John Updike and Tom Clancy both publish more than 15 bestselling novels?,yes,No,0.0,False,MEDIUM,2/3,No,No.,Yes.,3,4,1000,56.56
arc_v2,6,medium,Who was hung for assisting the attempted surrender of a defector from the American Continental Army ,John André,John André,1.0,True,LOW,1/3,John André,No specific answer found.,Benedict Arnold's traitor helper.,5,4,948,61.75
arc_v2,7,easy,which Mexican and American film actress is Ethel Houbiers  French voice of ,Salma Hayek Pinault,Salma Hayek Pinault,1.0,True,MEDIUM,2/3,Salma Hayek Pinault,Pharah,Salma Hayek Pinault's French voice.,3,4,1039,54.64
arc_v2,8,medium,Which major international airport in south-east England ranks as the 8th busiest airport in Europe a,Gatwick Airport,Gatwick Airport,1.0,True,MEDIUM,2/3,Gatwick Airport,Heathrow Airport.,Gatwick Airport ranks as eighth busiest.,3,5,1190,58.8
arc_v2,9,medium,Isabella Kelly was born at a ruined castle characterized as one of the most isolated fortifications ,The Changing Scottish Landscape,"""The Changing Scottish Landscape""",1.0,True,LOW,1/3,"""The Changing Scottish Landscape""",No specific answer found.,No specific information about Isabella Kelly's birthplace is provided in the given,4,4,1084,57.38
