architecture,task_id,level,question,ground_truth,predicted,score,correct,hop1,source,steps,tool_calls,tokens,time_sec
context_reader,0,easy,Who released a 2011 album entitled ‘Born This Way’?,Lady Gaga,"Lady Gaga released ""Born This Way"".",1.0,True,WEB,WEB,1,1,224,2.56
context_reader,1,easy,What was the nationality of composer Frederic Chopin?,Polish,Polish with French ancestry.,1.0,True,WEB,WEB,1,1,256,1.73
context_reader,2,easy,"""What purple berry from South America has been promoted as a """"superfood""""?""",Açaí berry,Maqui or Maquiberry.,0.0,False,WEB,WEB,1,1,200,2.63
context_reader,3,easy,For which county did Ted Dexter play cricket for most of his career?,Sussex,No specific county mentioned.,0.0,False,WEB,WEB,1,1,136,1.63
context_reader,4,easy,"A kittel, or kitl, is what, traditionally worn by male Jews?",Burial shroud,A traditional white robe for men.,0.0,False,WEB,WEB,1,1,152,3.73
context_reader,5,easy,Thomas Hardy's famous novel is 'Far from the Madding (What?)'?,Crowd,Crowd.,1.0,True,WEB,WEB,1,1,130,4.37
context_reader,6,easy,Bernie Ecclestone and Flavio Briatore were at one time co-owners of which Premier League club?,QUEENS PARK RANGERS,Queens Park Rangers Football Club.,1.0,True,WEB,WEB,1,1,220,2.09
context_reader,7,medium,Which BBC2 comedy is set around the church of St Saviours in the Marshes in Hackney?,REV,Rev (TV series),1.0,True,WEB,WEB,1,1,228,4.2
context_reader,8,easy,Which Holiday movie favourite featured a character called Kevin McCallister?,Home Alone,Home Alone featured Kevin McCallister.,1.0,True,WEB,WEB,1,1,252,2.02
context_reader,9,medium,Which Chilean socialist leader was deposed and killed by General Pinochet during a U.S. backed coup ,(Salvador) Allende,Salvador Allende was deposed and killed.,1.0,True,WEB,WEB,1,1,158,1.95
context_reader,10,easy,"""Who wrote the TV series """"Pennies From Heaven"""", and """"The Singing Detective""""?""",DENNIS POTTER,Alan Bennett wrote both series.,0.0,False,WEB,WEB,1,1,115,3.91
context_reader,11,easy,An alkali turns red litmus paper what colour/color?,Blue,Red litmus turns blue.,1.0,True,WEB,WEB,1,1,219,2.61
context_reader,12,easy,What fictional spy show showcases the dysfunctional International Secret Intelligence Service (ISIS),Archer,Archer showcases dysfunctional ISIS.,1.0,True,WEB,WEB,1,1,191,1.9
context_reader,13,easy,To whom did the risen Jesus say 'Touch me not'?,Mary Magdelene,Mary Magdalene.,1.0,True,WEB,WEB,1,1,231,1.48
context_reader,14,medium,Why was Korean short-track speedskater Kim Dong-Sung disqualified from the men's 1500 metre final at,Cross-tracking,Cutting off another skater intentionally.,0.0,False,WEB,WEB,1,1,168,2.63
context_reader,15,medium,Which was the first group to have a number one hit in the USA for Motown Records?,The Marvelettes,The Marvellettes were the first group.,0.0,False,WEB,WEB,1,1,231,2.66
context_reader,16,easy,Where are the police called heddlu?,Wales,In Wales they are called.,1.0,True,WEB,WEB,1,1,136,2.35
context_reader,17,medium,"""Which horse race meeting, for """"The Gold Cup"""", was first run in 1711 and is held on 7 June each ye",Royal Ascot,Royal Ascot.,1.0,True,WEB,WEB,1,1,189,3.25
context_reader,18,hard,"In which city can you visit the Luigi Ferraris Stadium, the gardens of the Villa Durazzo-Pallavicini",Genoa,The city is Genoa.,1.0,True,WEB,WEB,1,1,164,2.82
context_reader,19,easy,According to Latin grammatical rules what is the singular of candelabra?,Candelabrum,Candelabrum is the singular form.,1.0,True,WEB,WEB,1,1,229,2.77
context_reader,20,easy,What island is shared by Haiti and the Dominican Republic?,Hispaniola,The island is Hispaniola.,1.0,True,WEB,WEB,1,1,143,2.11
context_reader,21,medium,What is the short metonymic name of the chief usher of the Lord Chamberlain's department of the UK H,Black Rod,Black Rod.,1.0,True,WEB,WEB,1,1,145,2.31
