architecture,task_id,level,question,ground_truth,predicted,score,correct,confidence,votes,a1,a2,a3,steps,tool_calls,tokens,time_sec
arc_v2,0,easy,Who released a 2011 album entitled ‘Born This Way’?,Lady Gaga,Lady Gaga.,1.0,True,HIGH,3/3,Lady Gaga released it.,Lady Gaga released Born This Way.,Lady Gaga.,3,3,346,11.82
arc_v2,1,easy,What was the nationality of composer Frederic Chopin?,Polish,Polish.,1.0,True,HIGH,3/3,Polish with French ancestry.,Polish composer and pianist.,Polish.,3,3,448,4.69
arc_v2,2,easy,"""What purple berry from South America has been promoted as a """"superfood""""?""",Açaí berry,Acai berry from Brazil.,0.0,False,MEDIUM,2/3,Acai berry from Brazil.,Acai berry from South America.,Acai berry from Brazil.,3,3,508,11.81
arc_v2,3,easy,For which county did Ted Dexter play cricket for most of his career?,Sussex,Sussex County Cricket Club.,1.0,True,MEDIUM,2/3,Sussex County Cricket Club.,Sussex county cricket team.,Sussex and England.,3,3,413,4.99
arc_v2,4,easy,"A kittel, or kitl, is what, traditionally worn by male Jews?",Burial shroud,A traditional white robe for men.,0.0,False,LOW,1/3,A traditional white robe for men.,Traditionally worn by male Jews.,Traditional Jewish wedding vest.,3,3,420,11.35
arc_v2,5,easy,Thomas Hardy's famous novel is 'Far from the Madding (What?)'?,Crowd,Crowd.,1.0,True,HIGH,3/3,Far from the Madding Crowd.,Crowd.,"Crowd, the noise of people.",3,3,330,4.65
arc_v2,6,easy,Bernie Ecclestone and Flavio Briatore were at one time co-owners of which Premier League club?,QUEENS PARK RANGERS,Queens Park Rangers Football Club.,1.0,True,MEDIUM,2/3,Queens Park Rangers Football Club.,Queens Park Rangers Football Club.,QPR (Queens Park Rangers),3,3,418,11.83
arc_v2,7,medium,Which BBC2 comedy is set around the church of St Saviours in the Marshes in Hackney?,REV,The Rev comedy series.,1.0,True,MEDIUM,2/3,The Rev comedy series.,Rev is the comedy.,The Young Ones.,3,3,353,6.14
arc_v2,8,easy,Which Holiday movie favourite featured a character called Kevin McCallister?,Home Alone,Home Alone features Kevin McCallister.,1.0,True,MEDIUM,2/3,Home Alone features Kevin McCallister.,Home Alone's Kevin McCallister.,Home Alone starring Macaulay Culkin.,3,3,351,6.86
arc_v2,9,medium,Which Chilean socialist leader was deposed and killed by General Pinochet during a U.S. backed coup ,(Salvador) Allende,Salvador Allende was deposed and killed.,1.0,True,MEDIUM,2/3,Salvador Allende was deposed and killed.,Salvador Allende was deposed and killed.,Salvador Allende was overthrown.,3,3,372,10.88
arc_v2,10,easy,"""Who wrote the TV series """"Pennies From Heaven"""", and """"The Singing Detective""""?""",DENNIS POTTER,Dennis Potter wrote it.,1.0,True,LOW,1/3,Dennis Potter wrote both series.,Dennis Potter wrote it.,Lawrence Kasdan wrote it.,3,3,252,13.14
arc_v2,11,easy,An alkali turns red litmus paper what colour/color?,Blue,Red litmus turns blue.,1.0,True,HIGH,3/3,Red litmus turns blue.,Turns blue.,Blue.,3,3,314,6.46
arc_v2,12,easy,What fictional spy show showcases the dysfunctional International Secret Intelligence Service (ISIS),Archer,Archer features ISIS.,1.0,True,MEDIUM,2/3,Archer features ISIS.,Archer features dysfunctional ISIS agents.,The IT Crowd.,3,3,301,5.04
arc_v2,13,easy,To whom did the risen Jesus say 'Touch me not'?,Mary Magdelene,Jesus told Mary Magdalene.,0.0,False,HIGH,3/3,Jesus told Mary Magdalene.,Mary Magdalene.,Mary Magdalene.,3,3,682,12.24
arc_v2,14,medium,Why was Korean short-track speedskater Kim Dong-Sung disqualified from the men's 1500 metre final at,Cross-tracking,Impeding Apolo Ohno with his body.,0.0,False,LOW,1/3,Impeding Apolo Ohno with his body.,No evidence of disqualification found.,Overtaking another skater unfairly.,3,3,394,18.07
